ID_Pedido,Data_Pedido,ID_Cliente,Segmento,Pais,Cidade,Estado,ID_Produto,Categoria,SubCategoria,Valor_Venda
CB-0433-218196,13/05/2021,BJ-13389,Consumer,Canada,Toronto,ON,WZK-SB-38637940,Technology,Machines,636.72
MQ-4235-116155,25/04/2023,FJ-07816,Consumer,Brazil,Rio de Janeiro,RJ,XSF-OG-49593103,Technology,Phones,643.61
OK-4752-553419,27/08/2023,RO-83276,Consumer,Canada,Ottawa,ON,REN-KT-83503056,Technology,Copiers,557.33
QV-3767-242388,04/02/2023,OI-96965,Consumer,Brazil,São Paulo,SP,MEY-YM-87101226,Furniture,Tables,491.49
BK-8480-184514,26/05/2024,GG-70482,Consumer,Canada,Ottawa,ON,XHA-MU-48932528,Technology,Accessories,873.79
UF-0154-303911,29/07/2024,JK-18227,Corporate,Canada,Ottawa,ON,ZQP-XC-48963834,Furniture,Bookcases,466.46
LO-7133-150983,27/10/2024,CV-01031,Consumer,Canada,Montreal,QC,UKK-EP-18347382,Furniture,Bookcases,311.69
RP-6311-656670,10/06/2024,PM-10651,Consumer,United States,Chicago,IL,PEC-ZJ-38726247,Furniture,Storage,319.87
ZD-0801-326773,02/04/2021,YY-26064,Corporate,Brazil,São Paulo,SP,NDL-VI-74687234,Furniture,Storage,491.9
FL-5009-788208,08/12/2020,HK-19136,Corporate,United States,Miami,FL,KHU-QN-39909169,Furniture,Bookcases,593.91
NK-3462-475107,03/02/2023,QI-11838,Corporate,Canada,Toronto,ON,TTN-ZP-51354278,Furniture,Furnishings,582.48
RS-0841-241182,01/12/2024,GF-93534,Corporate,United States,Miami,FL,XIO-QK-40164005,Technology,Accessories,551.72
LJ-8680-112805,05/03/2024,XY-26204,Consumer,Canada,Toronto,ON,NVJ-PK-05331586,Technology,Accessories,615.1
CE-6025-634216,04/12/2021,YO-33754,Consumer,United States,New York,NY,WPG-ZR-30365414,Furniture,Bookcases,382.6
BW-5014-294019,23/12/2024,YK-56981,Home Office,United States,Houston,TX,XBE-QV-34060883,Office Supplies,Paper,88.62
MA-1484-656482,02/02/2023,ZJ-62994,Consumer,United States,Chicago,IL,DCC-RN-04436995,Technology,Machines,942.17
OZ-7214-895134,07/10/2024,EN-32003,Home Office,Canada,Toronto,ON,PJP-SA-17693676,Technology,Accessories,491.74
IZ-6328-708317,29/04/2021,WC-78895,Consumer,Canada,Vancouver,BC,QWP-OR-98687277,Office Supplies,Envelopes,114.6
IF-7347-143455,07/11/2024,TN-22362,Consumer,United States,Miami,FL,NAY-XL-16658760,Technology,Machines,848.34
ZM-9670-546688,01/08/2020,FB-37346,Consumer,Brazil,Rio de Janeiro,RJ,BZL-KQ-65627298,Office Supplies,Envelopes,30.45
DU-1627-204653,25/08/2020,FE-56464,Consumer,United States,New York,NY,PMB-NJ-08053100,Technology,Machines,1284.6
MV-2719-374529,13/06/2022,BT-12419,Corporate,Brazil,Salvador,BA,SXT-RM-96631931,Technology,Copiers,668.61
AF-9058-651850,13/06/2021,BL-16572,Consumer,Brazil,Belo Horizonte,MG,RUP-FR-84987769,Furniture,Furnishings,520.61
FN-3799-650752,02/04/2024,SR-54549,Home Office,Canada,Montreal,QC,JWP-SE-80831367,Technology,Copiers,877.21
EJ-7014-363495,04/08/2024,WS-85685,Corporate,Canada,Calgary,AB,HVI-WS-74443135,Furniture,Tables,488.94
SO-3374-989413,29/12/2021,IR-52408,Consumer,Canada,Calgary,AB,KSE-EC-00842710,Furniture,Chairs,442.18
OR-2047-116719,26/04/2023,FP-02294,Home Office,Brazil,Rio de Janeiro,RJ,YCC-TL-18699938,Office Supplies,Supplies,85.83
KP-4990-913341,25/01/2024,AC-28120,Corporate,Brazil,Salvador,BA,ERO-QY-97403447,Technology,Copiers,673.67
YT-6183-242102,06/02/2022,DS-99471,Home Office,Canada,Montreal,QC,MCB-VU-46488771,Furniture,Chairs,408.54
EH-0139-904902,19/07/2022,OF-74296,Corporate,Canada,Ottawa,ON,VAS-FS-17565512,Technology,Machines,607.89
AQ-8071-545168,29/10/2023,HX-87603,Corporate,Brazil,Belo Horizonte,MG,SCS-FH-97703482,Furniture,Bookcases,318.27
HD-9324-808613,30/08/2020,TR-12748,Home Office,Brazil,Belo Horizonte,MG,MMG-VI-67737826,Furniture,Furnishings,189.9
QF-4658-404499,04/01/2021,VJ-27875,Home Office,Brazil,Belo Horizonte,MG,OXA-CU-86753396,Technology,Accessories,730.0
CG-6627-028951,10/06/2024,PJ-87026,Consumer,Brazil,Belo Horizonte,MG,RIY-UO-17459615,Technology,Phones,757.02
WO-8091-343161,27/07/2024,CU-17240,Corporate,Canada,Montreal,QC,AKR-YL-04556238,Furniture,Chairs,489.77
DO-2196-937923,12/11/2021,SR-47407,Consumer,United States,Chicago,IL,SQD-TM-82175946,Furniture,Tables,445.38
QZ-7136-959440,10/09/2023,VF-40909,Consumer,Canada,Toronto,ON,RWU-XQ-43953394,Technology,Copiers,828.69
UV-1047-095214,31/07/2021,XH-62328,Consumer,Brazil,Curitiba,PR,DEJ-WO-84247451,Furniture,Bookcases,315.18
RV-8516-048175,19/10/2023,RO-49651,Corporate,Canada,Vancouver,BC,ODS-TP-70985931,Technology,Copiers,494.67
IY-1200-471138,22/11/2023,VU-75869,Home Office,Brazil,Curitiba,PR,SXN-CC-26179640,Technology,Accessories,578.53
DF-5158-506431,05/06/2022,PI-39005,Corporate,Canada,Montreal,QC,VXJ-YM-93183933,Technology,Machines,1057.42
WY-4228-421020,10/06/2020,QD-39502,Corporate,United States,Miami,FL,GLG-CG-26811775,Furniture,Tables,427.34
RG-9084-700766,21/04/2022,MJ-77115,Corporate,Brazil,São Paulo,SP,MHS-DG-12499856,Furniture,Furnishings,406.0
ZA-1183-673657,29/01/2024,XJ-15654,Home Office,Canada,Vancouver,BC,ZIJ-DL-71111615,Furniture,Chairs,348.76
WG-8516-560494,12/03/2025,OG-98327,Consumer,Brazil,São Paulo,SP,JXN-NR-58514936,Furniture,Chairs,651.84
LJ-0940-244550,25/02/2025,FV-96120,Home Office,United States,New York,NY,TUU-XK-83667525,Furniture,Storage,433.26
MC-0229-014767,20/02/2021,WB-64381,Consumer,Canada,Calgary,AB,ZMD-AN-14978403,Technology,Accessories,808.25
IY-3244-510762,25/12/2022,EZ-83885,Home Office,Canada,Ottawa,ON,KZT-OA-06071596,Office Supplies,Paper,51.25
GP-1605-297516,18/11/2022,ZT-69681,Consumer,United States,Houston,TX,GMX-WW-53521818,Furniture,Chairs,439.49
XO-3124-329212,03/09/2021,RK-77997,Corporate,Canada,Calgary,AB,OTY-RL-95527177,Office Supplies,Envelopes,114.41
EP-5814-770054,23/11/2020,DL-19986,Home Office,United States,New York,NY,GJD-CG-80793597,Technology,Phones,747.06
KX-1820-377889,05/05/2023,RM-54665,Home Office,Brazil,Salvador,BA,QUQ-MJ-05151864,Office Supplies,Binders,85.64
JY-1925-462914,03/04/2023,GX-52816,Consumer,Brazil,Rio de Janeiro,RJ,OIJ-ES-05423573,Technology,Copiers,679.23
KL-8880-592962,12/04/2021,XR-92706,Consumer,Brazil,Salvador,BA,TZY-EM-37947383,Office Supplies,Envelopes,97.39
ZM-9774-688623,19/07/2023,JG-24075,Corporate,Brazil,São Paulo,SP,JBF-OC-81412478,Technology,Phones,764.22
OB-0606-853615,24/05/2023,CS-51522,Consumer,Brazil,Curitiba,PR,QNJ-JU-72779010,Furniture,Tables,359.46
DE-6143-410369,27/11/2024,OG-17980,Corporate,Brazil,Salvador,BA,PKA-LQ-93246095,Office Supplies,Paper,111.67
EC-8518-888806,22/02/2021,YE-65405,Consumer,United States,New York,NY,IVP-LX-53195205,Office Supplies,Binders,70.45
CU-7221-704303,15/05/2024,QC-48687,Corporate,United States,Chicago,IL,BZV-CY-34505415,Office Supplies,Envelopes,118.01
ML-2775-841616,21/04/2023,UQ-84511,Home Office,Canada,Ottawa,ON,CCU-WN-44796275,Technology,Copiers,715.04
RY-4016-582029,13/02/2024,XP-70213,Corporate,Brazil,Rio de Janeiro,RJ,XXC-WE-55690927,Furniture,Chairs,285.54
FH-2856-543102,20/04/2025,TC-68144,Consumer,Canada,Ottawa,ON,CLT-CF-39473121,Technology,Machines,842.14
OH-5188-442258,19/02/2023,XJ-32370,Home Office,Brazil,São Paulo,SP,TZT-UE-95782911,Office Supplies,Supplies,71.23
WI-6691-251778,21/11/2024,GD-89226,Consumer,Canada,Vancouver,BC,WHS-FQ-18242253,Technology,Phones,637.99
LJ-8424-981829,01/02/2022,CB-29959,Home Office,Brazil,São Paulo,SP,OBF-OI-10943969,Furniture,Tables,592.46
AE-4736-471027,18/11/2022,UT-73592,Home Office,United States,New York,NY,UPD-HR-55625881,Furniture,Furnishings,357.84
UK-3210-469632,29/03/2024,DF-53278,Home Office,Canada,Toronto,ON,NLW-DD-47016873,Furniture,Bookcases,363.62
UX-7974-801624,24/10/2022,KJ-65060,Home Office,Canada,Ottawa,ON,WJR-NR-35841687,Technology,Machines,688.86
GZ-2165-585239,06/06/2021,TV-80002,Home Office,United States,Los Angeles,CA,NUK-ZN-78729825,Technology,Machines,698.68
XV-9588-879470,18/12/2022,ME-16940,Corporate,Brazil,Belo Horizonte,MG,HOU-NX-49930972,Furniture,Storage,263.11
JA-2309-130756,27/08/2023,VU-36897,Consumer,United States,Chicago,IL,YUL-DI-02838578,Furniture,Bookcases,421.1
OT-8549-733484,01/05/2023,WJ-43757,Consumer,Canada,Ottawa,ON,XZJ-SC-44198665,Furniture,Furnishings,354.37
SR-1574-733848,12/11/2022,PD-21993,Corporate,Brazil,Curitiba,PR,GRX-IA-83301657,Furniture,Storage,488.19
PK-2677-345401,05/02/2025,LC-38026,Corporate,Brazil,Rio de Janeiro,RJ,MGV-SD-67240049,Office Supplies,Paper,91.66
UD-8728-743152,14/01/2025,KR-42054,Home Office,United States,Miami,FL,ZQG-LI-32966851,Office Supplies,Supplies,70.52
LU-5304-637454,24/06/2024,DQ-90453,Consumer,Canada,Ottawa,ON,OSX-NO-17426841,Technology,Machines,893.92
ZQ-2727-956878,13/04/2022,CH-33918,Consumer,Canada,Toronto,ON,KIJ-KU-51910883,Office Supplies,Binders,104.63
