ID_Pedido,Data_Pedido,ID_Cliente,Segmento,Pais,Cidade,Estado,ID_Produto,Categoria,SubCategoria,Valor_Venda
CA-1971-356787,12/05/2021,CL-39256,Home Office,Canada,Toronto,ON,PROD-28289,Furniture,Bookcases,515.12
BR-1986-133326,03/10/2022,CL-13905,Consumer,Brazil,Curitiba,PR,PROD-22280,Furniture,Furnishings,330.43
BR-1979-688508,25/04/2022,CL-36062,Home Office,Brazil,Curitiba,PR,PROD-95181,Technology,Phones,615.96
CA-2016-717889,15/04/2021,CL-46463,Consumer,Canada,Calgary,AB,PROD-10851,Furniture,Furnishings,373.85
CA-1975-263032,20/01/2025,CL-38221,Consumer,Canada,Calgary,AB,PROD-54118,Office Supplies,Labels,111.45
BR-1972-988662,02/01/2024,CL-55082,Corporate,Brazil,Salvador,BA,PROD-89131,Furniture,Bookcases,187.65
BR-1976-496922,01/09/2020,CL-20328,Corporate,Brazil,Salvador,BA,PROD-82357,Technology,Phones,444.5
CA-1985-838797,11/04/2022,CL-19116,Home Office,Canada,Ottawa,ON,PROD-16006,Office Supplies,Paper,19.91
BR-2010-205907,18/09/2024,CL-59823,Corporate,Brazil,Belo Horizonte,MG,PROD-46434,Furniture,Tables,355.44
CA-2008-472528,22/08/2020,CL-37460,Corporate,Canada,Montreal,QC,PROD-97841,Furniture,Bookcases,407.9
CA-2018-660086,08/02/2022,CL-42087,Corporate,Canada,Toronto,ON,PROD-31417,Technology,Accessories,706.92
UN-1998-817870,19/01/2025,CL-52504,Consumer,United States,Chicago,IL,PROD-17331,Technology,Accessories,395.34
BR-2000-169403,16/04/2022,CL-37653,Home Office,Brazil,Belo Horizonte,MG,PROD-84341,Office Supplies,Labels,47.75
UN-2025-514850,13/10/2022,CL-94259,Consumer,United States,Los Angeles,CA,PROD-70142,Technology,Machines,504.05
UN-2021-883300,21/06/2020,CL-86622,Home Office,United States,Los Angeles,CA,PROD-66155,Furniture,Bookcases,356.76
UN-2017-634277,10/10/2021,CL-74686,Consumer,United States,Chicago,IL,PROD-21915,Furniture,Tables,117.99
BR-1993-930555,05/01/2024,CL-99192,Home Office,Brazil,Rio de Janeiro,RJ,PROD-65333,Technology,Accessories,396.68
BR-1980-654816,12/10/2022,CL-42953,Consumer,Brazil,Salvador,BA,PROD-82512,Office Supplies,Storage,45.56
CA-2021-905934,31/03/2022,CL-94012,Consumer,Canada,Toronto,ON,PROD-54587,Technology,Copiers,414.05
UN-1976-103402,12/04/2023,CL-44522,Consumer,United States,Houston,TX,PROD-75612,Furniture,Furnishings,244.84
CA-1995-982554,16/03/2021,CL-93748,Home Office,Canada,Toronto,ON,PROD-76540,Technology,Copiers,377.02
BR-1994-665579,28/03/2021,CL-79514,Home Office,Brazil,Rio de Janeiro,RJ,PROD-10074,Office Supplies,Paper,138.31
UN-2011-480612,05/05/2023,CL-50306,Consumer,United States,Houston,TX,PROD-41385,Furniture,Chairs,248.22
BR-2024-867460,31/08/2022,CL-73699,Home Office,Brazil,Curitiba,PR,PROD-19071,Furniture,Chairs,387.88
BR-2019-676510,13/10/2020,CL-31643,Home Office,Brazil,Rio de Janeiro,RJ,PROD-44741,Technology,Machines,432.07
CA-2006-847581,28/04/2024,CL-50857,Home Office,Canada,Calgary,AB,PROD-62296,Furniture,Tables,35.14
CA-1995-226882,23/06/2021,CL-42493,Consumer,Canada,Montreal,QC,PROD-39451,Office Supplies,Storage,106.07
UN-2007-717024,31/01/2021,CL-38864,Consumer,United States,New York,NY,PROD-10942,Technology,Accessories,503.64
CA-2012-132938,28/11/2022,CL-53309,Home Office,Canada,Toronto,ON,PROD-19287,Furniture,Chairs,283.38
BR-2009-324643,29/06/2023,CL-80678,Home Office,Brazil,Belo Horizonte,MG,PROD-27342,Technology,Machines,671.29
CA-2017-922733,19/01/2022,CL-71993,Consumer,Canada,Ottawa,ON,PROD-63354,Office Supplies,Paper,86.32
BR-1973-471507,03/01/2021,CL-65519,Corporate,Brazil,São Paulo,SP,PROD-63883,Technology,Machines,1010.45
CA-2022-163556,10/05/2022,CL-62772,Consumer,Canada,Toronto,ON,PROD-54473,Technology,Phones,632.65
BR-1975-246991,17/11/2022,CL-65296,Corporate,Brazil,Rio de Janeiro,RJ,PROD-34050,Furniture,Furnishings,402.07
UN-1976-947272,25/05/2022,CL-82132,Consumer,United States,Los Angeles,CA,PROD-22833,Furniture,Furnishings,283.11
CA-1988-890170,26/08/2023,CL-40982,Corporate,Canada,Ottawa,ON,PROD-31798,Furniture,Chairs,166.28
UN-2013-161483,09/04/2024,CL-31579,Consumer,United States,Houston,TX,PROD-59672,Furniture,Furnishings,376.26
UN-1981-543555,09/07/2023,CL-82845,Home Office,United States,Chicago,IL,PROD-96752,Office Supplies,Labels,184.28
UN-1994-328275,26/07/2023,CL-17665,Home Office,United States,Los Angeles,CA,PROD-85914,Furniture,Bookcases,80.52
CA-2015-159942,13/03/2022,CL-16572,Corporate,Canada,Toronto,ON,PROD-86569,Technology,Copiers,315.77
CA-2017-632496,08/09/2022,CL-20500,Consumer,Canada,Ottawa,ON,PROD-34356,Furniture,Chairs,405.86
CA-2011-523389,08/01/2021,CL-25713,Consumer,Canada,Toronto,ON,PROD-84668,Technology,Accessories,445.91
CA-2006-539589,14/11/2021,CL-96163,Home Office,Canada,Ottawa,ON,PROD-86503,Furniture,Chairs,164.97
CA-1981-802258,01/07/2022,CL-51180,Corporate,Canada,Montreal,QC,PROD-41285,Office Supplies,Paper,22.42
UN-1995-579434,07/05/2024,CL-51441,Consumer,United States,Los Angeles,CA,PROD-19508,Technology,Copiers,394.18
UN-2013-176819,17/09/2022,CL-80468,Home Office,United States,Miami,FL,PROD-37938,Technology,Phones,524.78
UN-1984-356150,25/02/2025,CL-58434,Consumer,United States,Los Angeles,CA,PROD-47353,Office Supplies,Binders,104.38
UN-2022-741390,05/03/2023,CL-95717,Consumer,United States,Miami,FL,PROD-79329,Technology,Copiers,268.69
CA-1985-240814,21/11/2020,CL-44664,Consumer,Canada,Ottawa,ON,PROD-25129,Office Supplies,Binders,74.92
CA-2024-395442,08/09/2020,CL-89276,Home Office,Canada,Ottawa,ON,PROD-37607,Furniture,Bookcases,319.61
UN-1997-629959,06/02/2023,CL-74032,Consumer,United States,Los Angeles,CA,PROD-42914,Technology,Copiers,804.01
BR-1974-103717,10/09/2022,CL-53719,Home Office,Brazil,Salvador,BA,PROD-27146,Office Supplies,Binders,75.77
UN-2008-678478,18/03/2022,CL-66057,Consumer,United States,Los Angeles,CA,PROD-83519,Technology,Machines,624.4
BR-1984-672092,03/02/2023,CL-14722,Home Office,Brazil,São Paulo,SP,PROD-58393,Technology,Accessories,340.94
CA-1996-143860,30/08/2024,CL-50404,Consumer,Canada,Vancouver,BC,PROD-57795,Office Supplies,Paper,96.2
UN-1979-799330,26/04/2024,CL-23473,Home Office,United States,Los Angeles,CA,PROD-56357,Technology,Accessories,890.28
UN-1979-348237,01/09/2022,CL-31299,Corporate,United States,Miami,FL,PROD-33206,Technology,Accessories,693.93
BR-2020-920391,07/07/2022,CL-63964,Home Office,Brazil,Rio de Janeiro,RJ,PROD-97806,Technology,Copiers,677.36
BR-2006-501124,11/03/2025,CL-15075,Consumer,Brazil,Belo Horizonte,MG,PROD-71694,Furniture,Chairs,315.01
BR-2020-960394,26/08/2022,CL-39831,Consumer,Brazil,Salvador,BA,PROD-39219,Office Supplies,Labels,55.2
CA-1999-392136,22/05/2025,CL-19099,Corporate,Canada,Vancouver,BC,PROD-46585,Office Supplies,Labels,57.34
CA-1997-128941,18/05/2025,CL-25118,Consumer,Canada,Ottawa,ON,PROD-44237,Office Supplies,Labels,40.63
CA-1984-725550,30/06/2023,CL-66959,Home Office,Canada,Montreal,QC,PROD-55309,Furniture,Chairs,375.88
UN-2004-503906,04/08/2021,CL-85574,Corporate,United States,Houston,TX,PROD-34914,Technology,Phones,416.33
BR-1976-481913,12/08/2024,CL-66531,Home Office,Brazil,Salvador,BA,PROD-19171,Furniture,Tables,195.2
UN-1977-854717,25/10/2020,CL-49363,Corporate,United States,Miami,FL,PROD-76469,Office Supplies,Binders,53.74
CA-2012-831076,18/09/2021,CL-48752,Consumer,Canada,Calgary,AB,PROD-82667,Office Supplies,Storage,40.11
BR-2023-810219,11/10/2021,CL-32810,Home Office,Brazil,Salvador,BA,PROD-90676,Technology,Machines,323.24
UN-2010-418635,03/01/2024,CL-47606,Corporate,United States,Houston,TX,PROD-37549,Technology,Phones,635.27
CA-1996-587575,15/12/2020,CL-67905,Home Office,Canada,Ottawa,ON,PROD-67954,Technology,Copiers,667.71
BR-2010-790855,30/08/2023,CL-21114,Home Office,Brazil,Curitiba,PR,PROD-47196,Office Supplies,Paper,120.19
CA-2006-958179,25/05/2024,CL-40784,Corporate,Canada,Ottawa,ON,PROD-98184,Office Supplies,Binders,123.5
BR-2007-148458,22/07/2022,CL-42092,Home Office,Brazil,Rio de Janeiro,RJ,PROD-72277,Furniture,Chairs,302.0
BR-2016-853240,06/07/2020,CL-60328,Corporate,Brazil,Salvador,BA,PROD-74799,Office Supplies,Paper,166.65
BR-2016-887443,22/05/2021,CL-23970,Consumer,Brazil,Rio de Janeiro,RJ,PROD-65724,Technology,Phones,451.63
BR-2021-684482,25/12/2024,CL-42662,Corporate,Brazil,Curitiba,PR,PROD-25906,Office Supplies,Binders,174.83
BR-2022-891937,07/09/2022,CL-68008,Home Office,Brazil,Salvador,BA,PROD-90301,Technology,Copiers,778.67
CA-1977-266889,23/04/2023,CL-72216,Corporate,Canada,Calgary,AB,PROD-68991,Technology,Machines,1.0
